"","district_name","chiefdom_name","chronic_work","Food_sec_classification","highest_edu_level","hhweight"
"1","Kenema","Nomo","","Moderately food insecure","College/University",0.1777201
"2","Tonkolili","Kholifa Rowala","","Marginally food secure","No School",1.5076716
"3","Kenema","Dodo","","Moderately food insecure","No School",0.5602864
"4","Koinadugu","Tamiso","","Marginally food secure","No School",0.1697018
"5","Pujehun","Malen","","Marginally food secure","No School",1.0837293
"6","Pujehun","Makpele","","Moderately food insecure","Some Primary",0.8219445
"7","Falaba","Wollay Barawa","","Moderately food insecure","College/University",0.4146298
"8","Kambia","Bramaia","","Marginally food secure","No School",0.51476
"9","Western Area Slum","Slum","","Marginally food secure","Some secondary",1.2575573
"10","Kambia","Muna Thalla","","Marginally food secure","No School",0.3762014
"11","Bo","Bagbwe(Bagbe)","No chronic illness","Moderately food insecure","Some secondary",0.5761842
"12","Kambia","Bramaia","","Marginally food secure","College/University",0.51476
"13","Western Area Slum","Slum","","Food secure","College/University",1.2575573
"14","Kenema","Kenema City","","Severely food insecure","Completed Primary",6.0810676
"15","Falaba","Sulima","","Severely food insecure","No School",0.6566527
"16","Bo","Bo Town","","Moderately food insecure","Vocational/Technical Institute",4.9102714
"17","Kambia","Muna Thalla","","Moderately food insecure","No School",0.3762014
"18","Port Loko","Maforki","","Marginally food secure","Some secondary",1.534993
"19","Koinadugu","Nieni","","Marginally food secure","No School",0.6801502
"20","Bo","Bagbo","","Moderately food insecure","No School",0.8386451
"21","Tonkolili","Kholifa Rowala","","Moderately food insecure","Completed Secondary",1.5076716
"22","Falaba","Morifindugu","","Severely food insecure","No School",0.2313086
"23","Pujehun","Perri","No, working for fewer hours/days","Severely food insecure","No School",0.6914497
"24","Bombali","Makari","","Marginally food secure","Some secondary",1.4298134
"25","Western Area Urban","West II","","Food secure","Completed Secondary",4.4390705
"26","Kailahun","Njaluahun","","Marginally food secure","No School",1.3062578
"27","Moyamba","Upper Banta","","Marginally food secure","Vocational/Technical Institute",0.3548562
"28","Western Area Rural","York Rural","","Marginally food secure","No School",4.5230785
"29","Western Area Urban","West II","","Food secure","Completed Secondary",4.4390705
"30","Falaba","Kebelia","","Moderately food insecure","No School",0.2545047
"31","Tonkolili","Yoni Mabanta","","Moderately food insecure","No School",0.9002567
"32","Pujehun","Sowa","","Moderately food insecure","Completed Primary",0.4252095
"33","Western Area Urban","Central I","","Marginally food secure","No School",1.8276852
"34","Bonthe","Imperri","","Moderately food insecure","No School",0.9957775
"35","Koinadugu","Kalian","","Marginally food secure","Vocational/Technical Institute",0.4959283
"36","Kono","Fiama","","Moderately food insecure","No School",0.4323924
"37","Falaba","Kulor Saradu","","Marginally food secure","No School",0.2207506
"38","Kailahun","Jawie","","Moderately food insecure","No School",1.3944928
"39","Port Loko","Lokomasama","","Moderately food insecure","No School",1.4808823
"40","Kenema","Dodo","No chronic illness","Severely food insecure","No School",0.5602864
"41","Bonthe","Sittia","","Marginally food secure","No School",0.4738193
"42","Koinadugu","Kamukeh","","Marginally food secure","College/University",0.2057309
"43","Kailahun","Penguia","","Moderately food insecure","Completed Secondary",0.5967944
"44","Moyamba","Dasse","","Marginally food secure","No School",0.4965263
